action,average_5,sum,rating_1,rating_2,rating_3,rating_4,rating_5
"Make my PhD code publicly available, even though it’s horrid",5,23,5,4,5,4,5
"Before doing any modelling, think about and write down evaluation criteria for afterwards",5,20,5,5,5,5,
Embed PPIE/community in modelling,5,14,5,5,4,,
Write an analysis plan beforehand with collaborators and stakeholders,5,14,4,5,5,,
Include paper documentation for my methods/code and make it publicly available,4,13,4,5,4,,
Explicitly state your model assumptions/model purpose at the start,4,11,3,3,5,,
Have a plan to pre-register an evaluation of your model/softweare & have someone/somebody hold you accountable,3,10,3,4,3,,
Encourage Kath to write to Angela McLean suggesting a “responsible modelling unit”,3,10,3,2,2,3,
Document my code better (more than just a README!) even if I don’t think anyone will read it!,3,10,3,4,3,,
Better documentation of model development and more input from other fields,3,10,4,3,3,,
"Consider where modelling sits into the wider workflow before embarking, e.g. assumptions and data to inform it and how it will be communicated and used in practice",3,10,3,3,4,,
Explicitly agreeing the aim of my model with my collaborators before the project begins,3,10,2,4,4,,
"Add responsible content to my GitHub repo READMEs (e.g. limitations, lay summary)",3,10,3,4,3,,
"Look at how other people document their code and transfer this to my work, e.g. README files: try and find good/bad examples",3,9,3,3,3,,
Communicate with non-modellers and explain your work plainly and let them understand strength and weaknesses/limitations,3,9,3,3,3,,
Think again about training for policy-facing modellers in departments,3,9,3,2,4,,
"There hasn’t been much talk about the impact on individuals - blind spots, biases can & will affect the model’s structure and outcomes. Social & societal aspects need to be taken into account (e.g. vulnerable groups)",3,8,4,2,2,,
"Consider model outputs and how they operate within the wider decision-making framework they’d hope to influence to guide model development, design and response variable choices",4,7,4,3,,,
I would make sure that my model’s outputs can be used by policy makers (literacy),2,7,3,2,2,,
Review latest Lancet commission on model reporting guidelines,2,7,3,3,1,,
Introduce beta testers to open source,2,7,2,3,2,,
Simulation based testing to calibrate for NTD modelling; responsible for reliable & timely info,2,5,2,2,1,,
Create a “using models for policy” as a standing government unit,,0,,,,,